Patient Question,y_bin,y_mc,ml_emotional_reasoning,ml_overgeneralization,ml_mental_filter,ml_should_statements,ml_all_or_nothing,ml_mind_reading,ml_fortune_telling,ml_magnification,ml_personalization,ml_labeling
"""I've been researching non-stop and it's clear that I must have done something to trigger this, if only I had taken better care of myself all these years.""",1,4,0,0,0,1,0,0,0,0,0,0
"I don’t really know how to explain the situation, but I deal with a lot of family drama, my parents have kind of high expectations, with the stress of school on top of that I became extremely unhappy and kept all of my emotions in and I wore that fake smile everyday until I finally reached my breaking point. I started self harming for about six months until my mom found out and suggested an inpatient program at a hospital. I refused to go because I didn’t know if it was going to go on my record which could possibly affect my dreams of becoming a psychiatrist. So, instead she sent me to a councelor who I’ve been seeing for about a year now. She sent me to a psychiatrist when I first started going to her and I was diagnosed with depression and put on medication but I stopped taking it a month after it was perscribed. I have a major fear of choking and drowning As well and can’t swallow pills. I’m still having major problems with the depression And My anxiety has been very bad, I’ve been considering talking to my parents about finishing the year by taking online classes. Because I need to get away. But what I really want to know is, how can I deal with depression and dig myself out of this hole? It seems like everytime I get so close of beating in, I get nocked right back down to the bottom. I’m still seeing my therapist but it’s not enough, my mom is still pushing me to go back on medication but doesn’t understand my fears. Is it even possible to beat this without medication? I also apologize if a lot of this doesn’t make sense.",1,2,0,1,0,0,0,0,0,0,0,0
"When I was around the ages, 5 or six, I had a friend named Jackie. I do not know her background, or why she was like this but, she would sexually “play” with herself in front of me. I was young and didn’t know this was wrong so when she told me to do it to myself too, I did. She would also touch me back but, I do not recall touching her in any way. This happened continuously until I moved to a different state and I am no longer in touch with her at all. I am quite ashamed and embarrassed but, I want to know if this event could cause trauma or PTSD. I suffer from anxiety and depression if you needed to know and I seem to have the symptoms of PTSD such as insomnia and nightmares, ect. For a while I never thought about it as bad and even forgot it happened but, suddenly this year, I remembered and wanted to know if it has affected me. Thank you.",1,8,0,0,0,0,0,0,0,1,0,0
"To sum things up, I haven’t had therapy since I was a child. Im terrified to seek help, but lately the thoughts and impulses scare my safety and others. I idealize a lot of things socially unacceptable, my only confidant said if I were to act or attempt such things they would have to turn me in. I have a hard time knowing whats real pr not, and if others are out to get me. Ive been suicidal n self mutilate my entire life, Ive almost lost it a few times. In 2013 I tried to seek help, I think I was suffering PTSD. After wanting me in group therapy I ran and never went back. I also have substance abuse problems, Im irrational and impulsive, and making common decisions is difficult. I shake constantly, always weak but sometimes feel invincible. I may be anemic but nothing confirms it. I sometimes see things that aren’t there but rarely. I dont like people by any means, nor do I have much empathy. To keep my relationships okay sometimes I fake or overly act certain emotions I know I should have. I crave power and glory, to a point it should be a concern, yet sometimes lack motivation? I know I have experienced depression on many,many occasions. There’s things I’d like to do but I know I never could. I’ve been anticipating a major breakdown for about 8 from suppression, hiding, and faking. Ive had a great deal of tragedies, sexual abuse, abandonment, various suicides. I saved a friend once as a teen, I cut myself fairly bad, but I succeeded in taking the box cutter away after he cut his wrists, throat, and tried to stab his stomach. It plays out in my dreams like I remember, when I awake many things I’ve suppressed flood my head. Overall though the things I want to do, the things I find acceptable etc. thats what is scaring me, also that I can’t remember things.. I guess all of it. The thought of seeking actual help, I know what I feel isn’t normal, but I fear what will become of me or my family if I go and completely honest.",1,1,1,0,0,1,0,0,0,0,0,0
"From a teen in Singapore: Since I was 5, I have the thought that being the oldest sibling at home I need to put on a strong front in order for my mum to not worry about me or just people finding me weak. I don’t know if it’s because of my Father going to jail since I was young that caused it, but i always feel ashamed after crying in front on anyone and I hide all of my emotions except those positive ones.",1,1,1,0,0,0,0,1,0,0,0,0
"My father is a narcissistic, closed minded, very angry and play the victim role. He used to fight with my mom daily. My mom is playing the victim role too and she’s too sensitive,pessimistic and lonely. My patents used to be over protective ,very very judgmental and critical. MY father judges the other people by looks and ironically he’s the one that people abuse . I grew up shy and introvert as I was from a middle class and the place I’m living in was for lower class (It’s my father’s class).I used to rely on my mom when it comes to buying clothes and on my father for getting my papers or things done .They really never let me do anything in this life and I’ve no real friends to experience life with .Now I’m an adult with no life experiences and I’m scared to be myself or to buy my own stuff coz I’m afraid that my father knows. It eats me that I can’t be myself around them .I have to conceal my shopping list or the stuff I buy and whenever they find it ,they judge me and criticize me immediately. Of course I’m the very nice guy now and this is another problem. I hate my parents and Idk what to do . I want to stop worrying about what they/others think of me and live an independent life.",1,10,0,0,0,0,1,0,0,1,0,1
"""This entire day has been a complete disaster, from spilling coffee on my dress this morning to now embarrassing myself in front of everyone I care about - it's just one mistake after another.""",1,2,0,1,1,0,0,0,0,0,0,0
"I began nursing school in 1983 and got near completing it – to the final year. Although my grades had always been superior emotionally I was a wreck and had to drop out. However, I DID discover at this time I had hyperthyroidism, and believed that had much to do with my stress over the last part of nursing ed. I had to stop, have treatments of various sorts for that condition, and it has since been under good control.",1,1,1,0,0,0,0,0,0,0,0,0
"From the U.S.: Hi, I’m a 13, going onto 14 year old girl and I am so confused about what has been going on with me. I always seem to feel guilty, but I have no clue why. I know I haven’t done anything wrong. It’s a feeling that hurts so badly, it usually happens late at night when I am all alone. I’m also super scared to talk to a lot of people, even my aunts, uncles and cousins. I guess I can say I’m socially awkward?",1,9,0,0,0,0,0,0,0,0,1,0
"From a teen in the U.S.: i’m positive that i am depressed. i’ve had countless episodes where i have felt empty/numb inside and shut everyone out as well as having lost interest in many things. i’ve only recently started cutting myself, but i’m working on stopping the habit.",1,1,1,0,0,0,0,0,0,0,0,1
"I’m lost in life, I often feel rage, anger and hatred towards others for no reason and I want it to stop. When I was younger I always was that light hearted hopeful little boy that helped anyone he could, now I look in the mirror and all I see is a Monster filled with so much rage that I could spit fire.",1,8,0,0,0,0,0,0,0,1,0,1
"Me and my boyfriend have been together for 6 years now. He lives with me. Sometimes he is very cold to my son. He is a quiet guy that does not really like to be bothered. He gets annoyed with me too when I bug him. He has said that he is the type of guy that shouldn’t be in a relationship because he likes his space. Well, last night was the last straw for me. My son had gotten him something for father’s day (not his dad) and he brought it over to his desk tried to talk to him and he said not right now and my son was yelling over him saying it’s important and my boyfriend yelled at him and he started crying and came and told me. I went in and talked to my boyfriend and he said it doesn’t matter what he needed to talk to me about he needs to wait. Then later my son came in again to apologize to him for bothering him and yelled at him again. I really think I’ve had it with this. I love my boyfriend and sometimes him and my son have lots of fun together, he’s been around since he was 2. He’s 8 now. But This happens too much and my son should not be treated this way. Am I making the right decision breaking up with him or should I talk to him and see if things change?",1,4,0,0,0,1,0,0,0,0,0,0
"Ok so I’ve talked to my parents a few times about how I think I might have depression. I’ve taken the tests on here every other day and results are almost always the same, minor to severe depression. So when I talked to my parents they said it was just because my hormones are all over the place, but would my hormones give me suicidal thoughts or wanting to cut. I don’t cut or commit suicide because I’m scared of the pain. I have also lost interest in some of my favourite things. I don’t sleep normal anymore either, I just can’t sleep, and when I cant sleep I think about how my future looks like I’ll never make it or I’ll just let my family down. My family and parents are the main cause to these thoughts trying to live up to all their expectations. I am just wondering if I could get someones idea on my situation and if my suspicion is a possibility.",1,7,0,0,0,0,0,0,1,0,0,0
"From a young man in Sri Lanka: I’m a 20 years old boy. I’m very shy since my childhood and I don’t have many friends. I’m very angry when I’m in my childhood. I have lot of violent thoughts these days. I can’t stop these thoughts. I feel that I’m losing my mind. When I was 13 I had thoughts about God and religion. I had some very bad thoughts. At my 15 I had my first violent thought. I have mental images about stabbing and killing. I felt that I’m going to do very bad things. Now I can’t think about any other things, except harming thoughts.",1,8,0,0,1,0,0,0,0,1,0,0
"I am from India. Recently I joined a big MNC. This is my first shot in corporate world and since I am a survivor of repeated child sexual abuse, I have very low self esteem, trust and sharing issues I already am not sure if I will be able to survive in this cut throat world. So this happened on an official vacation. I used to think that my boss doesn’t like me at all. So when he started talking to me I was really happy. But then he asked me to accompany him to the beach. It was 11 in the night. Completely sure that he would do nothing, I went (now I can’t stop blaming myself for that stupid decision). Then it started getting really uncomfortable and scary for me. He made sexual advances but I didn’t allow him to do anything. Then he said he was only testing me because he thought I was too mellow for this corporate life and I need to become more fierce. After that my already low confidence is now at a negative level. After that night he acted like nothing happened and it really bugged me. Now I am having dreams about him and I have started developing feelings for him. I am hating myself for it. I feel that because of my past and the fact that I haven’t shared it with anyone in this world I have become really desperate for love and relationship which I have never had. I want to be loved, I want to be valued but since I am overweight I fear I will never get that love. I want to get over my past which I am not able to. Those memories haunt me. Those men, their touch, my attempts to cut myself with blades when I was just 8 or 9 (I would cut my hands, let them bleed and then wash off and carry on normally with my life; my family being unaware of everything). Everything haunts me and I hate myself and when a guy even for wrong reasons said he likes me, I melted. This is so wrong on my part. How can I be so desperate? Help me.",1,9,0,0,1,0,0,0,0,0,1,0
From the UK: I have had Myalgic Encephalopathy (ME) for 25 years and have experienced several traumas including domestic abuse that have affected me badly. I have retreated into a complete state of hiding from life and avoiding all activity including looking after myself. I havent had a bath for 2 months.,1,5,0,0,0,0,1,0,0,0,0,0
"From the U.S.: I have a friend who we call each other “best friends”;. however she is not really open to me. I have invited her to meet my family around 5 times. always rejecting and coming up with excuses. I invited her again for the last time hoping it would be fine to meet my cousin and sister at a restaurant. so it would only be us 4. She replied in a sad tone (voice message) saying her heart is beating fast, shes anxious, shaking and nervous, there is going to be too much people, she doesn’t know anyone (although its only me, my sister and cousin). i told her she always goes to restaurants and meets people but whats the problem with this? She wouldn’t tell me what’s wrong and we ended up fighting. She told me to google it for an answer. I googled and only thing i could come up with is social anxiety. she said no. however I have no idea what the issue is. Can anyone help? btw we have been friends for around a year.",1,10,0,0,0,0,0,0,0,0,0,1
2017 was a hard year for me one of my best friend that I got to know in early of 2016. I’ll call her D made me and my other friend B. hate each other. she acted like she hate her with me. and when she’s with other friend she acted like she hate me. and it got worse B suffered from Alzheimer and recovered any how we two made up with each other. and we sided against the friend who lied and betray us.but when others ask what happens you were best friends with D. but I couldn’t remember anything at all like we were bed or we had good bond.I was like no we are not I’m not closed to her.she was just a friend.and there was this one guy friend Y I used to hang out and helped me a lot in this problems my BFF suddenly starts changing and ignoring me.which I don’t know why.then I started kind of getting flashes how I used to be with D.and Y changing was hard for me.and i couldnt go out or class.i stayed at home but when other insist to me to come. i thought okay fine.and when we meet outside for tution after a long time. he would make fun of me about my clothes in front of other guys or tell them how much a temptress i am.well i’m not.I never had boyfriend and we both never were loved each other. he had girlfriend while I was he’s friend too.I can’t understand what i did wrong for him to make fun of me in front of other people.my other friends say I’m over reacting and it’s a joke.and after that I avoids him and I stopped going to tution too.and I would flinch for everything.I was not a scared kid .I’m not even scared when watching horror movies. but even when my mom touch me I flinch. and I have no motive or energy to study all I do is sleep.and I hate going outside I hate seeing people.and whenever I start study I get negative feelings and I give up. what is wrong with me?,1,8,0,0,0,0,0,0,0,1,0,0
"""I feel like my entire life has been reduced to managing this condition now.""",1,5,0,0,0,0,1,0,0,0,0,0
"I’ll start with a background. I’ve been best friends with (Lets call him David for privacy) David for 3 years now. He is diagnosed with anxiety and depression. We started being friends shortly after he stopped being friends with another guy (named Alex for privacy). Alex basically (from what i’ve heard) was a terrible friend. He started ignoring David, lying to him, saying mean things,and even ruining other relationships to be closer to David. I feel like these experiences for David have traumatized him where he is always bringing himself down for every little thing he does. Everything he does is wrong. This, in turn, means everything that I do correct. This makes it extremely hard to be open about things in our relationship, which i think is needed for a healthy relationship. He places me on a pedastool for everything, and I cant feel comforble with that. I know that he is also right in his own way, and its healthy to compromise. I feel like we cant compromise because i am always the right one no matter what. I’ve been getting overwhelemed with it and I’m not sure what to do. I feel like anything I say will make him feel bad about himself for the next few months. Whenever I bring up something, he shuts down and can’t say anything. I usually feel like I just caused a mental breakdown, as he has had a few in the past. He does have a therapist, and has had one for 2 years. I know this might’ve been scatter brained, because thats how i feel right now. Thank you!",1,6,0,0,0,0,0,1,0,0,1,0
"From a young woman in Portugal: I have been suffering from obsessive fears for 7 years now, however for one year I have developed an obsession about having anxiety during a special moment where I am supposed to be happy. Before a special exciting moment happens I get the thought of anxiety and immediately start panicking and dwelling on the thought, which in turn makes it worse.",1,4,0,0,0,1,0,0,0,0,0,0
"""I can't believe I missed Emma's play, it's essential to be there for her milestones, and now she'll always remember that I wasn't present when it mattered most.""",1,6,0,0,0,0,0,1,0,0,0,0
"From a teen in the U.S.: i”ve been dealing with depression and anxiety issues since i was 6 years old. i’ve never really enjoyed living, being so depressed makes me push away everyone i care about, leaves me unmotivated quitting every job ive had and dropping out of high school, and constantly wanting to be alone and curl up in a ball and not do anything with my life. i have no energy and i kinda just sit and sulk all day, i also deal with bipolar, extremely bad panic attacks multiple times a day, and body dysmorphia.",1,3,0,0,1,0,0,0,0,0,0,0
"From a young teen in the U.S.  So for almost an entire year now, I have not considered myself as TRULY human. But more of a fox/wolf type thing. My therapist himself has said I’m abnormally intelligent for my age. And has also said he’s never really seen anyone like me before. We are only having our second session today, I get that. But i feel like he’s not really understanding my behavior.",1,1,1,0,0,0,0,1,0,0,0,0
"""I've been searching for weeks, wasted so much time looking at apartments that are either too expensive or have some major flaw, and now I'm stuck with this eviction notice - it's always the same old problems, one disappointment after another.""",1,3,0,0,1,0,0,0,0,0,0,0
"I have had a relationship for two years. It was difficult from the beginning but also very fulfilling in our times. In our second year he was diagnosed with a severe depression that he must have had for a while then. After the diagnosis he had a breakdown and was nearly not able to do anything anymore. He was emotionally aggressive and cruel towards me and I felt abused very often. In trying to take care for him I got health problems myself and found me a therapist. 10 month later I announced I would leave our flat for a while to recover, he left me and broke all contact – I was relieved, though I loved him very much. I lived without him for one year, recovered, were very happy, dated and had a fulfilling job, still I kept feeling I had lost the chance to grow old with someone I really loved.",1,8,0,0,0,0,0,0,0,1,0,0
"I’m prone to overreacting every once in a while, I’ll usually throw a fit in my room at night and try to be quiet (hitting pillows, crying, screaming into pillows) which I’m sure is ordinary. The real problem is I seem to be missing something. I’m too…open-eyed, I guess. I sit around with a stupid smile on my face. At school, I feel uncomfortable if people try to sit next to me at lunch, so I sit on my own and read, and this doesn’t bother me at all! But my mother thinks I’m hurting myself (socially), but she doesn’t seem to understand how strained I feel when I’m put into a situation I don’t like. On the other hand, when I do feel chatty, I always seem to mention topics that aren’t related, or I steer the conversation towards me, or I’m unintentionally mean. I try to remind myself not to behave that way, but every time I talk it seems like I mess everything up. I think about things no one else really cares about. I’m not sure if my personality is weird or if something is actually going on with my brain that doesn’t happen with everyone else, because even introverts (i think) have their own little group of friends to sit with, even if they don’t talk, but I feel stifled and nervous when I haven’t started talking on my own terms. I’ve started noticing that I take nudges and pushes a little too seriously, and when I try to replicate that playful atmosphere with my siblings I end up hurting them or angering them. Everyone gives me a hard time because of it. My siblings make me feel guilty. Once I had politely declined an offer from a nice girl who wanted me to come and sit with her and her friends, and when I later on related it to my mother, she was upset that I didn’t accept the offer and told me that I wasn’t going to make many friends if I was rude like that. There’s also the fact that I act a lot like a child and can be loud and annoying, and I feel like I interrupt people all the time. I just love being alone and feel agitated if someone, like one sibling of mine often does, impedes my private space unannounced. Thank you for listening.",1,6,0,0,0,0,0,1,0,0,0,0
"From the U.S.: I have a daughter who does competitive Irish dance. From 8-12 she competed regularly and won consistently (13 now). When she hit the highest level within the sport, she started to not do as well. This sapped her confidence and in turn, her desire to compete. She has a natural talent that has gotten her to the place where she is. Now, she has to put in the work to compete against the girls at her level. If she did put in the work, she would dominate. But she doesn’t want to do that and I’m not sure if it’s because she’s lazy or is afraid of putting in the work and still losing. In reality, she still does well, but just not placing within the top 3 like she used to.",1,6,0,0,0,0,0,1,0,0,0,1
"Hello. I’m writing this since I think I need help. So I’m in a relationship with a girl for 3 months now we know each other for almost a year and we used to text 24/7. We love each other so much we make gifts for ourselves, we go out daily and we have the best time ever. But I don’t know why I am very jealous and I can’t help it. Every time she is with her friend, a guy who is very good friend of hers for 6 years, I just lose it. She is a honest person, she wouldn’t ever cheat on someone, she hasn’t shown even once that she can do this to me, still I’m very jealous, we’ve had some arguments about that and she said that if I trusted her I wouldn’t worry, I do trust her really, but I don’t trust the guy or I just don’t feel it right to text so much with him or go out with him, I don’t think it’s right, I think he may like her even. And the problem is getting even more serious, I’m starting to get jealous when she goes out with her girl friends I start to overthink what she is doing, who is she texting and I’m so afraid of losing her. I have never felt another person so close to my heart as I feel her, I really don’t want to lose her. I haven’t told her I’m jealous of her girl friends because that would be ridiculous. I really want to keep our relationship healthy, but this is slowly becoming a huge problem which I need help to remove. Sometimes I am jealous that she has fun without me, I hide those feelings from her and I hold the pain in myself. I really hope that you understand my problem even tho my English isn’t that good and my problem is probably very strange. Please help me, I want to change. (age 16, from Bulgaria)",1,5,0,0,0,0,1,0,0,0,0,0
"So my parents have 50/50 custody, the past year i was kicked out living my aunt because my parents didn’t want to deal with me . Anyways now i want to live with my dad but my mom wants me to live with her. 1. I do not get along with my mom, there’s never a moment where we do not fight and she lives in a tiny one-bedroom apartment and i would have to sleep on the floor. At my dad’s , i want to live there but my stepmom is telling my dad i can’t ?? I have a room there and everything, she says because she doesn’t trust me and she doesn’t feel safe around me when she’s literally thrown stuff at my head, called the cops on me and everything. Living with my dad may be sucky but it’s a hell of a lot better than sleeping on the floor. What do i do if my dad refuses to let me live with him even though i’m still a minor.",1,6,0,0,0,0,0,1,0,0,0,0
"""This is just going to be another week of radio silence, and I'll be stuck in this limbo forever.""",1,7,0,0,0,0,1,0,1,0,0,0
"It seems as if my Mom is always siding with my older brother, if he puts his feet up behind my head while I’m sitting on the couch, my mom tells me to move. She does this with all my siblings too, though. I have three younger siblings as well and no matter what they do she will defend them in every way, if one calls me a bad name, she will say they are going through something. Anyways, my brother is a year and a half older than me, he has had a few health problems in the past and my mother has really flocked to his side since then. (it’s obviously not his fault, I usually get along with him and I do love him.) He has recently started University which was really hard for my mom to deal with, he started the process last year and every step of the way she wanted to know how it was going with him and supported him whenever he was doubting himself. I have a lot of the same problems and struggles he went through, when I start to talk about University and how I’m stressed and worried about applying to my mom she just says “You’ll do fine.” Or “Don’t worry so much.” She doesn’t seem to really want to know how i’m doing or how i’m feeling. Whenever she gets mad about something, as well, I’m always the one she will scream at. I’ve gotten tired of it. If it’s not a big deal I’ll just take it, but sometimes I come home from school and I won’t be able to relax until I go to bed because she’ll start looking for fights and expects the most out of me. She treats me like a child and holds my siblings in favor (I feel), but expects me to act like an adult. If it’s a real problem I’ll stand up for myself and that’s when she’ll scream at me, my dad often gets involved because he knows I am not trying to pick fights with her, but I won’t take her disrespect if I have not done anything to deserve it. My siblings are never really yelled at. Anyways, sorry this is so long. I started to blurt out everything rather than stick with one issue.",1,6,0,1,0,0,0,1,0,0,0,0
"""He's just a master manipulator trying to ruin my reputation.""",1,10,0,0,0,0,0,0,0,0,0,1
"I have severe depression and I purposely try to sabotage my life. I have been severely depressed for years. I have seen a therapist as well during that time off and on as well as having been on anti depressant medication. This helped me a great deal while I was doing both of those things however, I chose to stop them both as I made myself believe I didn’t need them.",1,9,0,0,0,0,0,0,0,0,1,0
"""I'm such an idiot, I'm 30 years old and still can't even handle a simple dinner without making a scene - it's mandatory to be more careful than that.""",1,10,0,0,0,1,0,0,0,0,0,1
"From a teen in Hong Kong: Since the beginning of secondary school, I’ve been noticing that I’ve been feeling more down. And I also experienced an increase in anxiety. I’ve always been an anxious kid, but this increased and now it has reached to the point where sometimes I can’t eat in public much. Since I am dealing with overweight issues, i feel like anything everyone will be thinking why I’m eating even though I’m fat already. My family don’t understand this, they keep on eating outside while I just want to go home.",1,10,0,0,0,0,0,0,0,0,0,1
"From a woman in the U.S.: I didn’t get my first best friend till I was 19. Me an ENFP, her an INFJ. She is reserved, introverted, grew up in devout Christian family, where everything is brushed under the rug. Well off. Book smart. I was your stereotypical extrovert. Silly, spontaneous. My family is open, but loud, chaotic, and had no structure. Poor. Street smart.",1,10,0,0,0,0,0,0,0,0,0,1
"From a teen in the U.S.:  I recently have begun to notice that my behavior has become rather strange. One second I could be happy, then next I could be sad, anxious, paranoid, or angry within an instant. I don’t understand how I feel. I’m assuming this begun at a much younger age than now, such as when I was probably ten or maybe eleven. I went through some sexual abuse as a child for 4-5 years (from the ages of 4-9) before it finally ended. And I’m happy to say that everything and everyone is safe and fine now that the abuser is gone. Since then I have visited a therapist, but it was brief and it was quite some time ago. Possibly 5-6 years ago.  Most of the questions they asked at the therapy office were questions about my abuser for legal reasons; what he did, how it was done, etc. I was probably 9 or ten by then.",1,2,0,1,0,0,0,0,0,0,0,0
"""Yesterday was a complete disaster, I overslept, skipped my jog, and rushed through breakfast - now I'm already behind schedule and it's all downhill from here.""",1,3,0,0,1,0,1,0,0,0,0,0
"""It's unacceptable to have wasted an entire year on dead-end opportunities and now I'm paying the price for my lack of vision.""",1,4,0,0,0,1,0,0,0,0,0,0
"This is a problem I’ve had my whole life, but I’ve always felt it was too trivial to talk to anyone about. Whenever plans show signs of failing or it looks like I might have made a mistake my mind blows it out of proportion I have this overwhelming sense of shame and worry which manifests itself in uncontrollable crying, and it’s difficult for me to stop until someone reassures me- this can be for something as small as missing a bus or forgetting a task in a long to-do list. My parents find this difficult to deal with and usually respond by rolling their eyes or calling me immature, which only results in more crying. Whenever I’m criticized by someone close to me I feel pathologically attacked and defensive, so it seems like I’m experiencing a fight-or-flight response to this: the closest thing I can liken it to is being repeatedly teased, taunted or chastised, even though most of time that’s far from the truth. I don’t feel able to talk to anyone about this because I know it makes me seem immature, but I want to stop these behaviours to give my parents a bit of a break. I feel immature and it’s stopping me from having any independence. I was bullied and isolated during primary school and I remember the feelings that trigger the crying episodes as those I often experienced back then. I’d like to know whether I’m being immature and if I deserve to receive any help in stopping these behaviours- and, if so, what I can do to ensure this happens.",1,2,0,1,0,0,0,0,0,1,0,0
"I’ve been happily single-by-choice for many years. Definitely not even considering ANY possibility of new “romantic” relationship. Out of NOWHERE, I started constantly thinking about & plotting ways to spend time with a man approx 15 yrs younger than I. He works evenings & nights as a security guard where I reside. He’s been working here for approx. 6 mos. I’d seen & even spoken briefly to him several times previously, but without a hint of warning I became “closer” (no physical exchanges due to my faith & beliefs). Here’s the kicker: he couldn’t be FURTHER from what has always been my “type”. Where I live there are many different nationalities & people from many diverse ethnic backgrounds. I’ve always been attracted first & foremost, by physical appearance & to races other than mine (Caucasian). This “young man” is Hispanic, having only arrived in Hawaii last year, and is pure WHITE, skinny, shaved head, big ears & a horrible physique. Now’s the time to add the fact of my extremely good, rare physical shape-not only for “my age” but for women in general. I’ve had 5 large babies but have always been very athletic-serious weight-lifting for many years as well as running, canoe-paddling etc. In 2009 I realized my 35-year dream & underwent an abdominoplasty which removed 2 lbs. of loose skin only-no liposuction needed-& complete abdominal muscle restoration (stretch marks & scars are history & I’ve had extensive tattooing over the surgical scars. People think I’m “fibbing” when they learn about my large family because my body definitely is not the “norm” in the many-children dept. I’m 5′ 2″, still somewhat muscular, have long, straight hair (in which I keep all traces of white from becoming obvious) & am feisty & energetic. I’m certainly not movie-star gorgeous but not too shabby for 61* So…what is up with my totally out-of-character attraction to this guy? He has a beautiful accent I call “Sprench” for Spanish/French because it sounds like a little of both. He’s been very kind & considerate but I think I’ve frightened him with my hyper, “dog-with-a-bone” personality. He’s separated from his wife, who’s in CA. I mean, if my kids ever knew about this they’d think I’d totally lost it. I have 2 bodybuilder sons & all my children are super attractive, as are their kids. What do I do???",1,6,0,0,0,0,0,1,0,0,0,0
"I’ve realized one of my biggest issues is a feeling of inadequacy, of being an imposter. From an outsider’s view, I’m the picture of success: I went to a top 3 Ivy league college, am currently a medical student at one of the best medical schools in the US, I have extremely kind and good-hearted friends, and I’ve been blessed with a passion and talent for music. However, I feel like any second now someone will “find me out,” and everyone will realize I am a fraud. In some sense I have always felt this way about myself: I was top of my class in high school, but all throughout felt entirely insecure in my intelligence and chalked it up solely to hard, sometimes obsessive, work ethic. I feel like ALL my successes have been due to an inordinate amount of work, not actual skill. I see others around me, especially now, who work hard, but don’t have to work nearly as hard as I do to achieve better successes. It’s frustrating because I feel like such an idiot compared to my peers. I am such a SLOW learner. It takes me a ridiculous number of repetitions to get something. My obsessiveness about learning things well has gotten me far, I guess. But, I’m realizing more and more that society, the “real world,” and especially a job as demanding as medicine, require an ability to learn quickly, and they praise a high level of common sense. I’m screwed! I truly lack both of these things. I have always been book smart, but lots of basic concepts just don’t click. I truly am an idiot.",1,10,0,0,0,0,0,0,0,0,0,1
"I have a 23 years old sister and her behaviors cause anxiety. We moved to Canada about 2 years ago and since then I feel responsible a lot about her. Our parents are in back home and I feel I have to protect her and do as much as I can for her. She imputes to me all the tasks she has to do. She doesn’t eat at all in a day or she eats fast food (she is overweight), she doesn’t sleep in normal ours, she is depressed and doesn’t have friends at all. I can’t stop thinking about something will happen to her so bad bc she doesn’t eat. Sometimes I think she will get a big health problem or mental issue and I am trying to think about how can I deal with it. I try to help her and talk to her often about what she should eat or she should go to nutritionist or psychologist but she never listen to me and she says “I don’t know why I am like this, I want to change my behaviors but I can’t.” I just want to stop worrying, I feel sick. I can’t live my life if I can’t stop worrying about her all the time. (From Canada)",1,7,0,0,1,0,0,0,1,0,0,0
"I am a 15 year old girl, I have suffered from depression and anxiety for about 5 years, but lately it’s been a lot more, for the past couple months physically I feel like I’m not controlling myself, I get angry or sad within seconds of being happy without control I’ll start to yell or breakout in violence.",1,1,1,0,0,0,0,0,0,0,0,0
"I am having ongoing difficulties in getting heard and am feeling really discouraged to the point that I don’t want to bother trying to communicate or assert as I feel it doesn’t work anyhow. I’ve done numerous communication, assertiveness and conflict resolution courses and use the suggested techniques (outline the facts, stating the feeling, wants and at times a positive or negative consequence using neutral language, I statements, asking the other person/s what they think, what would work etc). But I don’t get heard. At work I don’t get taken seriously by a colleague I work with on a joint project, my asserted work needs & suggestions get ignored. I’ve discussed this with my manager asking I be included on planning meetings they have explaining I could raise my work needs & suggestions & I work better when I have the context rather than be given bits of work. I make many suggestions of how I can contribute meaningfully on work projects but am getting more & more admin work. I wasn’t employed to do full time admin but in a skilled role needing qualifications. I’ve done work I’ve been given well & enthusiastically. I’d like to discuss this concern with my manager but fear I won’t get heard as nothing has changed when I’ve discussed things with my manager in the past. I coordinate a group, we meet to agree on dates & events for the year. At times have people cancel at the last minute meaning an event has been cancelled. I’ve face to face & via email asked that they advise they can’t come as soon as they know so that as much notice of an event cancellation can be given to give the 1-2 who can make it time to make other arrangements & avoid last minute disappointment. I’ve phrased this by giving the facts, acknowledging things come up but to advise ASAP, the impact of last minute event cancellations on others especially hosts but there are still last minute cancellations. I’d suggested people feel free to arrange additional impromptu events but said if someone were to do so please RSVP quickly either way otherwise no one will want to organize anything if no one responds. The other week I’d issued an invitation to have only 1 person acknowledge it. With initiating new friendships I’m so discouraged there as despite joining many things I feel afraid to initiate things as people often say no they are too busy. So I target activities that are ongoing so I have contact with the same people so friendships build slowly without initiating too early to be knocked back. In past workplaces I’m often not included in pub invites or lunches with others who do a similar job. Advising I know of such events and would be interested in being invited doesn’t work. I hence now feel awkward and shy, not wanting join in informal activities (e.g. invite myself to sit and chat to the other tenants in my block of flats who sit int he front garden) preferring more formal structured activities. I’m at a dead end here. I’ve been to therapy, been told I have good communication skills, I have no personality disorders. I’m generally positive, well presented, interested in others, talk about a wide range of things, keen to get out there. I don’t bitch or say negative things about people. I’ve worked hard on communication and assertiveness. I just don’t feel like continuing to try.",1,6,0,1,0,0,0,1,1,0,0,0
